company_id,nse_symbol,fiscal_year,quarter,period_end,filing_date,source_url,match_confidence,attachment_format,extraction_status,extracted_char_count,xbrl_available,notes
RELIANCE,RELIANCE,FY2024,Q3,2023-12-31,19-Jan-2024 18:13:53,https://nsearchives.nseindia.com/corporate/RILLR19012024_19012024181354.pdf,text_confirmed,pdf,extracted,67159,True,
RELIANCE,RELIANCE,FY2024,Q4,2024-03-31,22-Apr-2024 19:01:25,https://nsearchives.nseindia.com/corporate/SELETTER_22042024190125.pdf,text_confirmed,pdf,extracted,97046,True,
RELIANCE,RELIANCE,FY2025,Q1,2024-06-30,19-Jul-2024 19:16:04,https://nsearchives.nseindia.com/corporate/SEFR_19072024191604.pdf,text_confirmed,pdf,extracted,58387,True,
RELIANCE,RELIANCE,FY2025,Q2,2024-09-30,14-Oct-2024 19:02:31,https://nsearchives.nseindia.com/corporate/BM_SE_14102024190232.pdf,text_confirmed,pdf,extracted,76873,True,
RELIANCE,RELIANCE,FY2025,Q3,2024-12-31,16-Jan-2025 19:25:42,https://nsearchives.nseindia.com/corporate/SE_Result_16012025192542.pdf,text_confirmed,pdf,extracted,61889,True,
RELIANCE,RELIANCE,FY2025,Q4,2025-03-31,25-Apr-2025 20:05:15,https://nsearchives.nseindia.com/corporate/kavinavora_25042025200131_SE_FR.pdf,text_confirmed,pdf,extracted,88583,True,
RELIANCE,RELIANCE,FY2026,Q1,2025-06-30,18-Jul-2025 19:31:34,https://nsearchives.nseindia.com/corporate/kavinavora_18072025193102_SE_FR.pdf,text_confirmed,pdf,extracted,33948,True,
RELIANCE,RELIANCE,FY2026,Q2,2025-09-30,17-Oct-2025 19:01:21,https://nsearchives.nseindia.com/corporate/kavinavora_17102025190048_SE_F.pdf,date_window_only,pdf,extracted,74580,True,
RELIANCE,RELIANCE,FY2026,Q3,2025-12-31,16-Jan-2026 19:09:20,https://nsearchives.nseindia.com/corporate/kavinavora_16012026190810_FR_1.pdf,text_confirmed,pdf,extracted,65454,True,
RELIANCE,RELIANCE,FY2026,Q4,2026-03-31,24-Apr-2026 19:26:28,https://nsearchives.nseindia.com/corporate/kavinavora_24042026192614_SE_24042026_FR.pdf,text_confirmed,pdf,extracted,87415,True,
RELIANCE,RELIANCE,FY2027,Q1,2026-06-30,17-Jul-2026 19:07:44,https://nsearchives.nseindia.com/corporate/kavinavora_17072026190726_SE_FR_1.pdf,text_confirmed,pdf,extracted,55972,True,
ICICIBANK,ICICIBANK,FY2015,Q2,2014-09-30,30-Oct-2014 12:55:02,https://nsearchives.nseindia.com/corporate/ICICI30092014_S_AR.zip,date_window_only,zip,needs_ocr,1,False,zip_contains_pdf(3_files)
ICICIBANK,ICICIBANK,FY2015,Q3,2014-12-31,30-Jan-2015 14:07:02,https://nsearchives.nseindia.com/corporate/ICICIBANK_31Dec14_S.zip,date_window_only,zip,needs_ocr,1,False,zip_contains_pdf(3_files)
ICICIBANK,ICICIBANK,FY2015,Q4,2015-03-31,27-Apr-2015 14:23:02,https://nsearchives.nseindia.com/corporate/ICICIBANK_results.zip,date_window_only,zip,needs_ocr,4,False,zip_contains_pdf(3_files)
ICICIBANK,ICICIBANK,FY2016,Q1,2015-06-30,31-Jul-2015 12:11:03,https://nsearchives.nseindia.com/corporate/ICICI01.zip,date_window_only,zip,needs_ocr,1,False,zip_contains_pdf(2_files)
ICICIBANK,ICICIBANK,FY2016,Q2,2015-09-30,30-Oct-2015 13:20:44,https://nsearchives.nseindia.com/corporate/ICICIBANK_01.zip,date_window_only,zip,needs_ocr,3,False,zip_contains_pdf(2_files)
ICICIBANK,ICICIBANK,FY2016,Q3,2015-12-31,28-Jan-2016 16:03:29,https://nsearchives.nseindia.com/corporate/BSE_NSE_Result_Doc_28012016160329.zip,date_window_only,zip,extracted,14788,False,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2016,Q4,2016-03-31,29-Apr-2016 12:02:31,https://nsearchives.nseindia.com/corporate/BSE_NSE_Results-f_29042016120231.zip,date_window_only,zip,extracted,17350,False,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2017,Q1,2016-06-30,29-Jul-2016 16:39:07,https://nsearchives.nseindia.com/corporate/BSE_NSE_29072016_f_29072016163907.zip,date_window_only,zip,extracted,13280,False,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2017,Q2,2016-09-30,14-Oct-2016 17:18:00,https://nsearchives.nseindia.com/corporate/NSEBSE_14102016171827_270.zip,date_window_only,zip,needs_ocr,3,False,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2017,Q3,2016-12-31,31-Jan-2017 15:50:29,https://nsearchives.nseindia.com/corporate/NSE_BSE_31012017_Results_31012017155029.zip,text_confirmed,zip,extracted,15613,False,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2017,Q4,2017-03-31,03-May-2017 18:28:40,https://nsearchives.nseindia.com/corporate/BSE_NSE_Results_2017_03052017182840.zip,text_confirmed,zip,extracted,20142,False,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2018,Q1,2017-06-30,27-Jul-2017 17:02:27,https://nsearchives.nseindia.com/corporate/BSE_NSE_Results_27072017170227.zip,text_confirmed,zip,extracted,16524,False,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2018,Q2,2017-09-30,27-Oct-2017 16:21:41,https://nsearchives.nseindia.com/corporate/BSE_NSE_Result_27102017162141.zip,text_confirmed,zip,extracted,17212,False,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2018,Q3,2017-12-31,31-Jan-2018 16:26:15,https://nsearchives.nseindia.com/corporate/BSE_NSE_Result_31012018162615.zip,text_confirmed,zip,extracted,16997,False,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2018,Q4,2018-03-31,07-May-2018 17:48:55,https://nsearchives.nseindia.com/corporate/BSE_NSE_Results_07052018_07052018174855.zip,text_confirmed,zip,extracted,63378,True,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2019,Q1,2018-06-30,27-Jul-2018 17:49:27,https://nsearchives.nseindia.com/corporate/BSE_NSE_Final_Results_27072018174927.zip,text_confirmed,zip,extracted,35751,True,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2019,Q2,2018-09-30,04-Oct-2018 13:57:00,https://nsearchives.nseindia.com/corporate/listcontract1_04102018135659_ICICIBANK_OBM_001.pdf,date_window_only,pdf,extracted,2205,True,
ICICIBANK,ICICIBANK,FY2019,Q3,2018-12-31,30-Jan-2019 17:32:44,https://nsearchives.nseindia.com/corporate/1BSE_NSE_FR_30JAN2018_30012019173244.zip,text_confirmed,zip,extracted,37836,True,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2019,Q4,2019-03-31,06-May-2019 16:10:41,https://nsearchives.nseindia.com/corporate/FR_06052019161041.zip,text_confirmed,zip,extracted,51543,True,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2020,Q1,2019-06-30,27-Jul-2019 14:58:18,https://nsearchives.nseindia.com/corporate/Final_NSEBSE_27072019145818.zip,text_confirmed,zip,extracted,52574,True,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2020,Q2,2019-09-30,26-Oct-2019 14:30:00,https://nsearchives.nseindia.com/corporate/ICICIBANK_26102019142953_BSENSE_OCT2019_046.pdf,date_window_only,pdf,extracted,53294,True,
ICICIBANK,ICICIBANK,FY2020,Q3,2019-12-31,25-Jan-2020 14:25:36,https://nsearchives.nseindia.com/corporate/BSENSE_RESULTS_FR_JAN2020_25012020142536.zip,text_confirmed,zip,extracted,57216,True,zip_contains_pdf(1_files)
ICICIBANK,ICICIBANK,FY2020,Q4,2020-03-31,09-May-2020 16:15:12,https://nsearchives.nseindia.com/corporate/FinalNSE_BSE_May92020_09052020161512.zip,text_confirmed,zip,extracted,89502,True,zip_contains_pdf(1_files)
